domain,dns_cn,dns_cn_count,dns_total,registrar_cn,registrant_cn,cn_tld,score,resolved_ips,matched_cidr,source,updated,sticky,bucket,dns_hk,dns_mo,dns_tw,dns_jp,dns_kr,dns_sg,provider,cdn_masked
10000.com,1,1,1,0,0,0,100,60.205.178.234,60.200.0.0/13,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
10010.com,1,1,1,0,0,0,100,123.125.96.156,123.112.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
10086.cn,1,2,2,0,0,1,100,183.207.44.251|36.160.2.81,183.192.0.0/10|36.128.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
10jqka.com.cn,1,1,1,0,0,1,100,122.224.107.239,122.224.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
12306.cn,1,2,2,0,0,1,100,42.81.148.6|43.243.235.24,42.80.0.0/15|43.243.232.0/22,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
12315.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
12315.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
12333.gov.cn,1,1,1,0,0,1,100,114.255.111.152,114.224.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
12345.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
12366.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
12377.cn,0,0,0,0,0,1,100,,,seed_cn,2026-04-27,1,CN,0,0,0,0,0,0,,0
126.com,1,1,1,0,0,0,100,111.124.203.38,111.124.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
163.com,1,1,1,0,0,0,100,59.111.160.244,59.108.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
163yun.com,1,2,2,0,0,0,100,111.124.195.142|111.124.195.143,111.124.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
1688.com,1,1,1,0,0,0,100,140.205.174.2,140.205.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
